Instrument,DSPLY_NMLL,COUNTRY
NECCOV=ECI,NCOV19 Tot Cases RTR,NER
NECOVD=ECI,COVID19 Tot Cases WHO,NER
NEDCOV=ECI,NCOV19 Deaths RTR,NER
NENCOV=ECI,NCOV19 New Cases RTR,NER
NERCOV=ECI,NCOV19 Recovered RTR,NER
NGACOV=ECI,NCOV19 Act Cases RTR,NGA
NGCCOV=ECI,NCOV19 Tot Cases RTR,NGA
NGCOVD=ECI,COVID19 Tot Cases WHO,NGA
NGDCOV=ECI,NCOV19 Deaths RTR,NGA
NGNCOV=ECI,NCOV19 New Cases RTR,NGA
NGRCOV=ECI,NCOV19 Recovered RTR,NGA
NIACOV=ECI,NCOV19 Act Cases RTR,NIC
NICCOV=ECI,NCOV19 Tot Cases RTR,NIC
NICOVD=ECI,COVID19 Tot Cases WHO,NIC
NIDCOV=ECI,NCOV19 Deaths RTR,NIC
NINCOV=ECI,NCOV19 New Cases RTR,NIC
NIRCOV=ECI,NCOV19 Recovered RTR,NIC
NLACOC=ECI,NCOV19 Act Cases Crbn Neth RTR,NLD
NLACOV=ECI,NCOV19 Act Cases RTR,NLD
NLCCOC=ECI,NCOV19 Tot Cases Crbn Neth RTR,NLD
NLCCOV=ECI,NCOV19 Tot Cases RTR,NLD
NLCOVC=ECI,COVID19 Tot Cases WHO,   
NLCOVD=ECI,COVID19 Tot Cases WHO,NLD
NLDCOC=ECI,NCOV19 Deaths Crbn Neth RTR,NLD
NLDCOV=ECI,NCOV19 Deaths RTR,NLD
NLNCOC=ECI,NCOV19 New Cases Crbn Neth RTR,NLD
NLNCOV=ECI,NCOV19 New Cases RTR,NLD
NLRCOC=ECI,NCOV19 Recovered Crbn Neth RTR,NLD
NLRCOV=ECI,NCOV19 Recovered RTR,NLD
NOACOV=ECI,NCOV19 Act Cases RTR,NOR
NOCCOV=ECI,NCOV19 Tot Cases RTR,NOR
NOCOVD=ECI,COVID19 Tot Cases WHO,NOR
NODCOV=ECI,NCOV19 Deaths RTR,NOR
NONCOV=ECI,NCOV19 New Cases RTR,NOR
NORCOV=ECI,NCOV19 Recovered RTR,NOR
NPACOV=ECI,NCOV19 Act Cases RTR,NPL
NPCCOV=ECI,NCOV19 Tot Cases RTR,NPL
NPCOVD=ECI,COVID19 Tot Cases WHO,NPL
NPDCOV=ECI,NCOV19 Deaths RTR,NPL
NPNCOV=ECI,NCOV19 New Cases RTR,NPL
NPRCOV=ECI,NCOV19 Recovered RTR,NPL
NZACOV=ECI,NCOV19 Act Cases RTR,NZL
NZCCOV=ECI,NCOV19 Tot Cases RTR,NZL
NZCOVD=ECI,COVID19 Tot Cases WHO,NZL
NZDCOV=ECI,NCOV19 Deaths RTR,NZL
NZNCOV=ECI,NCOV19 New Cases RTR,NZL
NZRCOV=ECI,NCOV19 Recovered RTR,NZL
OMACOV=ECI,NCOV19 Act Cases RTR,OMN
OMCCOV=ECI,NCOV19 Tot Cases RTR,OMN
OMCOVD=ECI,COVID19 Tot Cases WHO,OMN
OMDCOV=ECI,NCOV19 Deaths RTR,OMN
OMNCOV=ECI,NCOV19 New Cases RTR,OMN
OMRCOV=ECI,NCOV19 Recovered RTR,OMN
PAACOV=ECI,NCOV19 Act Cases RTR,PAN
PACCOV=ECI,NCOV19 Tot Cases RTR,PAN
PACOVD=ECI,COVID19 Tot Cases WHO,PAN
PADCOV=ECI,NCOV19 Deaths RTR,PAN
PANCOV=ECI,NCOV19 New Cases RTR,PAN
PARCOV=ECI,NCOV19 Recovered RTR,PAN
PEACOV=ECI,NCOV19 Act Cases RTR,PER
PECCOV=ECI,NCOV19 Tot Cases RTR,PER
PECOVD=ECI,COVID19 Tot Cases WHO,PER
PEDCOV=ECI,NCOV19 Deaths RTR,PER
PENCOV=ECI,NCOV19 New Cases RTR,PER
PERCOV=ECI,NCOV19 Recovered RTR,PER
PFACOV=ECI,NCOV19 Act Cases RTR,PYF
PFCCOV=ECI,NCOV19 Tot Cases RTR,PYF
PFCOVD=ECI,COVID19 Tot Cases WHO,PYF
PFDCOV=ECI,NCOV19 Deaths RTR,PYF
PFNCOV=ECI,NCOV19 New Cases RTR,PYF
PFRCOV=ECI,NCOV19 Recovered RTR,PYF
PGACOV=ECI,NCOV19 Act Cases RTR,PNG
PGCCOV=ECI,NCOV19 Tot Cases RTR,PNG
PGCOVD=ECI,COVID19 Tot Cases WHO,PNG
PGDCOV=ECI,NCOV19 Deaths RTR,PNG
PGNCOV=ECI,NCOV19 New Cases RTR,PNG
PGRCOV=ECI,NCOV19 Recovered RTR,PNG
PHACOV=ECI,NCOV19 Act Cases RTR,PHL
PHCCOV=ECI,NCOV19 Tot Cases RTR,PHL
PHCOVD=ECI,COVID19 Tot Cases WHO,PHL
PHDCOV=ECI,NCOV19 Deaths RTR,PHL
PHNCOV=ECI,NCOV19 New Cases RTR,PHL
PHRCOV=ECI,NCOV19 Recovered RTR,PHL
PKACOV=ECI,NCOV19 Act Cases RTR,PAK
PKCCOV=ECI,NCOV19 Tot Cases RTR,PAK
PKCOVD=ECI,COVID19 Tot Cases WHO,PAK
PKDCOV=ECI,NCOV19 Deaths RTR,PAK
PKNCOV=ECI,NCOV19 New Cases RTR,PAK
PKRCOV=ECI,NCOV19 Recovered RTR,PAK
PLACOV=ECI,NCOV19 Act Cases RTR,POL
PLCCOV=ECI,NCOV19 Tot Cases RTR,POL
PLCOVD=ECI,COVID19 Tot Cases WHO,POL
PLDCOV=ECI,NCOV19 Deaths RTR,POL
PLNCOV=ECI,NCOV19 New Cases RTR,POL
PLRCOV=ECI,NCOV19 Recovered RTR,POL
PMACOV=ECI,NCOV19 Act Cases RTR,SPM
PMCCOV=ECI,NCOV19 Tot Cases RTR,SPM
PMCOVD=ECI,COVID19 Tot Cases WHO,SPM
PMDCOV=ECI,NCOV19 Deaths RTR,SPM
PMNCOV=ECI,NCOV19 New Cases RTR,SPM
PMRCOV=ECI,NCOV19 Recovered RTR,SPM
PRACOV=ECI,NCOV19 Act Cases RTR,PRI
PRCCOV=ECI,NCOV19 Tot Cases RTR,PRI
PRCOVD=ECI,COVID19 Tot Cases WHO,PRI
PRDCOV=ECI,NCOV19 Deaths RTR,PRI
PRNCOV=ECI,NCOV19 New Cases RTR,PRI
PRRCOV=ECI,NCOV19 Recovered RTR,PRI
PSACOV=ECI,NCOV19 Act Cases RTR,PSE
PSCCOV=ECI,NCOV19 Tot Cases RTR,PSE
PSCOVD=ECI,COVID19 Tot Cases WHO,PSE
PSDCOV=ECI,NCOV19 Deaths RTR,PSE
PSNCOV=ECI,NCOV19 New Cases RTR,PSE
PSRCOV=ECI,NCOV19 Recovered RTR,PSE
PTACOV=ECI,NCOV19 Act Cases RTR,PRT
PTCCOV=ECI,NCOV19 Tot Cases RTR,PRT
PTCOVD=ECI,COVID19 Tot Cases WHO,PRT
PTDCOV=ECI,NCOV19 Deaths RTR,PRT
PTNCOV=ECI,NCOV19 New Cases RTR,PRT
PTRCOV=ECI,NCOV19 Recovered RTR,PRT
PYACOV=ECI,NCOV19 Act Cases RTR,PRY
PYCCOV=ECI,NCOV19 Tot Cases RTR,PRY
PYCOVD=ECI,COVID19 Tot Cases WHO,PRY
PYDCOV=ECI,NCOV19 Deaths RTR,PRY
PYNCOV=ECI,NCOV19 New Cases RTR,PRY
PYRCOV=ECI,NCOV19 Recovered RTR,PRY
QAACOV=ECI,NCOV19 Act Cases RTR,QAT
QACCOV=ECI,NCOV19 Tot Cases RTR,QAT
QACOVD=ECI,COVID19 Tot Cases WHO,QAT
QADCOV=ECI,NCOV19 Deaths RTR,QAT
QANCOV=ECI,NCOV19 New Cases RTR,QAT
QARCOV=ECI,NCOV19 Recovered RTR,QAT
REACOV=ECI,NCOV19 Act Cases RTR,REU
RECCOV=ECI,NCOV19 Tot Cases RTR,REU
RECOVD=ECI,COVID19 Tot Cases WHO,REU
REDCOV=ECI,NCOV19 Deaths RTR,REU
RENCOV=ECI,NCOV19 New Cases RTR,REU
RERCOV=ECI,NCOV19 Recovered RTR,REU
ROACOV=ECI,NCOV19 Act Cases RTR,ROM
ROCCOV=ECI,NCOV19 Tot Cases RTR,ROM
ROCOVD=ECI,COVID19 Tot Cases WHO,ROM
RODCOV=ECI,NCOV19 Deaths RTR,ROM
RONCOV=ECI,NCOV19 New Cases RTR,ROM
RORCOV=ECI,NCOV19 Recovered RTR,ROM
RSACOV=ECI,NCOV19 Act Cases RTR,SRB
RSCCOV=ECI,NCOV19 Tot Cases RTR,SRB
RSCOVD=ECI,COVID19 Tot Cases WHO,SRB
RSDCOV=ECI,NCOV19 Deaths RTR,SRB
RSNCOV=ECI,NCOV19 New Cases RTR,SRB
RSRCOV=ECI,NCOV19 Recovered RTR,SRB
RUACOV=ECI,NCOV19 Act Cases RTR,RUS
RUCCOV=ECI,NCOV19 Tot Cases RTR,RUS
RUCOVD=ECI,COVID19 Tot Cases WHO,RUS
RUDCOV=ECI,NCOV19 Deaths RTR,RUS
RUNCOV=ECI,NCOV19 New Cases RTR,RUS
RURCOV=ECI,NCOV19 Recovered RTR,RUS
RWACOV=ECI,NCOV19 Act Cases RTR,RWA
RWCCOV=ECI,NCOV19 Tot Cases RTR,RWA
RWCOVD=ECI,COVID19 Tot Cases WHO,RWA
RWDCOV=ECI,NCOV19 Deaths RTR,RWA
RWNCOV=ECI,NCOV19 New Cases RTR,RWA
RWRCOV=ECI,NCOV19 Recovered RTR,RWA
SAACOV=ECI,NCOV19 Act Cases RTR,SAU
SACCOV=ECI,NCOV19 Tot Cases RTR,SAU
SACOVD=ECI,COVID19 Tot Cases WHO,SAU
SADCOV=ECI,NCOV19 Deaths RTR,SAU
SANCOV=ECI,NCOV19 New Cases RTR,SAU
SARCOV=ECI,NCOV19 Recovered RTR,SAU
SCACOV=ECI,NCOV19 Act Cases RTR,SYC
SCCCOV=ECI,NCOV19 Tot Cases RTR,SYC
SCCOVD=ECI,COVID19 Tot Cases WHO,SYC
SCDCOV=ECI,NCOV19 Deaths RTR,SYC
SCNCOV=ECI,NCOV19 New Cases RTR,SYC
SCRCOV=ECI,NCOV19 Recovered RTR,SYC
SDACOV=ECI,NCOV19 Act Cases RTR,SDN
SDCCOV=ECI,NCOV19 Tot Cases RTR,SDN
SDCOVD=ECI,COVID19 Tot Cases WHO,SDN
SDDCOV=ECI,NCOV19 Deaths RTR,SDN
SDNCOV=ECI,NCOV19 New Cases RTR,SDN
SDRCOV=ECI,NCOV19 Recovered RTR,SDN
SEACOV=ECI,NCOV19 Act Cases RTR,SWE
SECCOV=ECI,NCOV19 Tot Cases RTR,SWE
SECOVD=ECI,COVID19 Tot Cases WHO,SWE
SEDCOV=ECI,NCOV19 Deaths RTR,SWE
SENCOV=ECI,NCOV19 New Cases RTR,SWE
SERCOV=ECI,NCOV19 Recovered RTR,SWE
SGACOV=ECI,NCOV19 Act Cases RTR,SGP
SGCCOV=ECI,NCOV19 Tot Cases RTR,SGP
SGCOVD=ECI,COVID19 Tot Cases WHO,SGP
SGDCOV=ECI,NCOV19 Deaths RTR,SGP
SGNCOV=ECI,NCOV19 New Cases RTR,SGP
SGRCOV=ECI,NCOV19 Recovered RTR,SGP
SIACOV=ECI,NCOV19 Act Cases RTR,SVN
SICCOV=ECI,NCOV19 Tot Cases RTR,SVN
SICOVD=ECI,COVID19 Tot Cases WHO,SVN
SIDCOV=ECI,NCOV19 Deaths RTR,SVN
SINCOV=ECI,NCOV19 New Cases RTR,SVN
SIRCOV=ECI,NCOV19 Recovered RTR,SVN
SKACOV=ECI,NCOV19 Act Cases RTR,SVK
SKCCOV=ECI,NCOV19 Tot Cases RTR,SVK
SKCOVD=ECI,COVID19 Tot Cases WHO,SVK
SKDCOV=ECI,NCOV19 Deaths RTR,SVK
SKNCOV=ECI,NCOV19 New Cases RTR,SVK
SKRCOV=ECI,NCOV19 Recovered RTR,SVK
SMACOV=ECI,NCOV19 Act Cases RTR,SMR
SMCCOV=ECI,NCOV19 Tot Cases RTR,SMR
SMCOVD=ECI,COVID19 Tot Cases WHO,SMR
SMDCOV=ECI,NCOV19 Deaths RTR,SMR
SMNCOV=ECI,NCOV19 New Cases RTR,SMR
SMRCOV=ECI,NCOV19 Recovered RTR,SMR
SNACOV=ECI,NCOV19 Act Cases RTR,SEN
SNCCOV=ECI,NCOV19 Tot Cases RTR,SEN
SNCOVD=ECI,COVID19 Tot Cases WHO,SEN
SNDCOV=ECI,NCOV19 Deaths RTR,SEN
SNNCOV=ECI,NCOV19 New Cases RTR,SEN
SNRCOV=ECI,NCOV19 Recovered RTR,SEN
SOACOV=ECI,NCOV19 Act Cases RTR,SOM
SOCCOV=ECI,NCOV19 Tot Cases RTR,SOM
SOCOVD=ECI,COVID19 Tot Cases WHO,SOM
SODCOV=ECI,NCOV19 Deaths RTR,SOM
SONCOV=ECI,NCOV19 New Cases RTR,SOM
SORCOV=ECI,NCOV19 Recovered RTR,SOM
SRACOV=ECI,NCOV19 Act Cases RTR,SUR
SRCCOV=ECI,NCOV19 Tot Cases RTR,SUR
SRCOVD=ECI,COVID19 Tot Cases WHO,SUR
SRDCOV=ECI,NCOV19 Deaths RTR,SUR
SRNCOV=ECI,NCOV19 New Cases RTR,SUR
SRRCOV=ECI,NCOV19 Recovered RTR,SUR
SSACOV=ECI,NCOV19 Act Cases RTR,SSD
SSCCOV=ECI,NCOV19 Tot Cases RTR,SSD
SSCOVD=ECI,COVID19 Tot Cases WHO,SSD
SSDCOV=ECI,NCOV19 Deaths RTR,SSD
SSNCOV=ECI,NCOV19 New Cases RTR,SSD
SSRCOV=ECI,NCOV19 Recovered RTR,SSD
STACOV=ECI,NCOV19 Act Cases RTR,STP
STCCOV=ECI,NCOV19 Tot Cases RTR,STP
STCOVD=ECI,COVID19 Tot Cases WHO,STP
STDCOV=ECI,NCOV19 Deaths RTR,STP
STNCOV=ECI,NCOV19 New Cases RTR,STP
STRCOV=ECI,NCOV19 Recovered RTR,STP
SVACOV=ECI,NCOV19 Act Cases RTR,SLV
SVCCOV=ECI,NCOV19 Tot Cases RTR,SLV
SVCOVD=ECI,COVID19 Tot Cases WHO,SLV
SVDCOV=ECI,NCOV19 Deaths RTR,SLV
SVNCOV=ECI,NCOV19 New Cases RTR,SLV
SVRCOV=ECI,NCOV19 Recovered RTR,SLV
SXACOV=ECI,NCOV19 Act Cases RTR,SXM
SXCCOV=ECI,NCOV19 Tot Cases RTR,SXM
SXCOVD=ECI,COVID19 Tot Cases WHO,SXM
SXDCOV=ECI,NCOV19 Deaths RTR,SXM
SXNCOV=ECI,NCOV19 New Cases RTR,SXM
SXRCOV=ECI,NCOV19 Recovered RTR,SXM
SYACOV=ECI,NCOV19 Act Cases RTR,SYR
SYCCOV=ECI,NCOV19 Tot Cases RTR,SYR
SYCOVD=ECI,COVID19 Tot Cases WHO,SYR
SYDCOV=ECI,NCOV19 Deaths RTR,SYR
SYNCOV=ECI,NCOV19 New Cases RTR,SYR
SYRCOV=ECI,NCOV19 Recovered RTR,SYR
SZACOV=ECI,NCOV19 Act Cases RTR,   
SZCCOV=ECI,NCOV19 Tot Cases RTR,   
SZCOVD=ECI,COVID19 Tot Cases WHO,EST
SZDCOV=ECI,NCOV19 Deaths RTR,   
SZNCOV=ECI,NCOV19 New Cases RTR,   
SZRCOV=ECI,NCOV19 Recovered RTR,   
TCACOV=ECI,NCOV19 Act Cases RTR,TCA
TCCCOV=ECI,NCOV19 Tot Cases RTR,TCA
TCCOVD=ECI,COVID19 Tot Cases WHO,TCA
TCDCOV=ECI,NCOV19 Deaths RTR,TCA
TCNCOV=ECI,NCOV19 New Cases RTR,TCA
TCRCOV=ECI,NCOV19 Recovered RTR,TCA
TDACOV=ECI,NCOV19 Act Cases RTR,TCD
TDCCOV=ECI,NCOV19 Tot Cases RTR,TCD
TDCOVD=ECI,COVID19 Tot Cases WHO,TCD
TDDCOV=ECI,NCOV19 Deaths RTR,TCD
TDNCOV=ECI,NCOV19 New Cases RTR,TCD
TDRCOV=ECI,NCOV19 Recovered RTR,TCD
TGACOV=ECI,NCOV19 Act Cases RTR,TGO
TGCCOV=ECI,NCOV19 Tot Cases RTR,TGO
TGCOVD=ECI,COVID19 Tot Cases WHO,TGO
TGDCOV=ECI,NCOV19 Deaths RTR,TGO
TGNCOV=ECI,NCOV19 New Cases RTR,TGO
TGRCOV=ECI,NCOV19 Recovered RTR,TGO
THACOV=ECI,NCOV19 Act Cases RTR,THA
THCCOV=ECI,NCOV19 Tot Cases RTR,THA
THCOVD=ECI,COVID19 Tot Cases WHO,THA
THDCOV=ECI,NCOV19 Deaths RTR,THA
THNCOV=ECI,NCOV19 New Cases RTR,THA
THRCOV=ECI,NCOV19 Recovered RTR,THA
TJACOV=ECI,NCOV19 Act Cases RTR,TJK
TJCCOV=ECI,NCOV19 Tot Cases RTR,TJK
TJCOVD=ECI,COVID19 Tot Cases WHO,TJK
TJDCOV=ECI,NCOV19 Deaths RTR,TJK
TJNCOV=ECI,NCOV19 New Cases RTR,TJK
TJRCOV=ECI,NCOV19 Recovered RTR,TJK
TLACOV=ECI,NCOV19 Act Cases RTR,TLS
TLCCOV=ECI,NCOV19 Tot Cases RTR,TLS
TLCOVD=ECI,COVID19 Tot Cases WHO,TLS
TLDCOV=ECI,NCOV19 Deaths RTR,TLS
TLNCOV=ECI,NCOV19 New Cases RTR,TLS
TLRCOV=ECI,NCOV19 Recovered RTR,TLS
TNACOV=ECI,NCOV19 Act Cases RTR,TUN
TNCCOV=ECI,NCOV19 Tot Cases RTR,TUN
TNCOVD=ECI,COVID19 Tot Cases WHO,TUN
TNDCOV=ECI,NCOV19 Deaths RTR,TUN
TNNCOV=ECI,NCOV19 New Cases RTR,TUN
TNRCOV=ECI,NCOV19 Recovered RTR,TUN
TRACOV=ECI,NCOV19 Act Cases RTR,TUR
TRCCOV=ECI,NCOV19 Tot Cases RTR,TUR
TRCOVD=ECI,COVID19 Tot Cases WHO,TUR
TRDCOV=ECI,NCOV19 Deaths RTR,TUR
TRNCOV=ECI,NCOV19 New Cases RTR,TUR
TRRCOV=ECI,NCOV19 Recovered RTR,TUR
TTACOV=ECI,NCOV19 Act Cases RTR,TTO
TTCCOV=ECI,NCOV19 Tot Cases RTR,TTO
TTCOVD=ECI,COVID19 Tot Cases WHO,TTO
TTDCOV=ECI,NCOV19 Deaths RTR,TTO
TTNCOV=ECI,NCOV19 New Cases RTR,TTO
TTRCOV=ECI,NCOV19 Recovered RTR,TTO
TZACOV=ECI,NCOV19 Act Cases RTR,TZA
TZCCOV=ECI,NCOV19 Tot Cases RTR,TZA
TZCOVD=ECI,COVID19 Tot Cases WHO,TZA
TZDCOV=ECI,NCOV19 Deaths RTR,TZA
TZNCOV=ECI,NCOV19 New Cases RTR,TZA
TZRCOV=ECI,NCOV19 Recovered RTR,TZA
UAACOV=ECI,NCOV19 Act Cases RTR,UKR
UACCOV=ECI,NCOV19 Tot Cases RTR,UKR
UACOVD=ECI,COVID19 Tot Cases WHO,UKR
UADCOV=ECI,NCOV19 Deaths RTR,UKR
UANCOV=ECI,NCOV19 New Cases RTR,UKR
UARCOV=ECI,NCOV19 Recovered RTR,UKR
UGACOV=ECI,NCOV19 Act Cases RTR,UGA
UGCCOV=ECI,NCOV19 Tot Cases RTR,UGA
UGCOVD=ECI,COVID19 Tot Cases WHO,UGA
UGDCOV=ECI,NCOV19 Deaths RTR,UGA
UGNCOV=ECI,NCOV19 New Cases RTR,UGA
UGRCOV=ECI,NCOV19 Recovered RTR,UGA
USACOV=ECI,NCOV19 Act Cases RTR,USA
USCCOV=ECI,NCOV19 Tot Cases RTR,USA
USCOVD=ECI,COVID19 Tot Cases WHO,USA
USDCOV=ECI,NCOV19 Deaths RTR,USA
USNCOV=ECI,NCOV19 New Cases RTR,USA
USRCOV=ECI,NCOV19 Recovered RTR,USA
UYACOV=ECI,NCOV19 Act Cases RTR,URY
UYCCOV=ECI,NCOV19 Tot Cases RTR,URY
UYCOVD=ECI,COVID19 Tot Cases WHO,URY
UYDCOV=ECI,NCOV19 Deaths RTR,URY
UYNCOV=ECI,NCOV19 New Cases RTR,URY
UYRCOV=ECI,NCOV19 Recovered RTR,URY
UZACOV=ECI,NCOV19 Act Cases RTR,UZB
UZCCOV=ECI,NCOV19 Tot Cases RTR,UZB
UZCOVD=ECI,COVID19 Tot Cases WHO,UZB
UZDCOV=ECI,NCOV19 Deaths RTR,UZB
UZNCOV=ECI,NCOV19 New Cases RTR,UZB
UZRCOV=ECI,NCOV19 Recovered RTR,UZB
VAACOV=ECI,NCOV19 Act Cases RTR,VAT
VACCOV=ECI,NCOV19 Tot Cases RTR,VAT
VACOVD=ECI,COVID19 Tot Cases WHO,VAT
VADCOV=ECI,NCOV19 Deaths RTR,VAT
VANCOV=ECI,NCOV19 New Cases RTR,VAT
VARCOV=ECI,NCOV19 Recovered RTR,VAT
VCACOV=ECI,NCOV19 Act Cases RTR,VCT
VCCCOV=ECI,NCOV19 Tot Cases RTR,VCT
VCCOVD=ECI,COVID19 Tot Cases WHO,VCT
VCDCOV=ECI,NCOV19 Deaths RTR,VCT
VCNCOV=ECI,NCOV19 New Cases RTR,VCT
VCRCOV=ECI,NCOV19 Recovered RTR,VCT
VEACOV=ECI,NCOV19 Act Cases RTR,VEN
VECCOV=ECI,NCOV19 Tot Cases RTR,VEN
VECOVD=ECI,COVID19 Tot Cases WHO,VEN
VEDCOV=ECI,NCOV19 Deaths RTR,VEN
VENCOV=ECI,NCOV19 New Cases RTR,VEN
VERCOV=ECI,NCOV19 Recovered RTR,VEN
VGACOV=ECI,NCOV19 Act Cases RTR,VGB
VGCCOV=ECI,NCOV19 Tot Cases RTR,VGB
VGCOVD=ECI,COVID19 Tot Cases WHO,VIR
VGDCOV=ECI,NCOV19 Deaths RTR,VGB
VGNCOV=ECI,NCOV19 New Cases RTR,VGB
VGRCOV=ECI,NCOV19 Recovered RTR,VGB
VIACOV=ECI,NCOV19 Act Cases RTR,VIR
VICCOV=ECI,NCOV19 Tot Cases RTR,VIR
VICOVD=ECI,COVID19 Tot Cases WHO,VIR
VIDCOV=ECI,NCOV19 Deaths RTR,VIR
VINCOV=ECI,NCOV19 New Cases RTR,VIR
VIRCOV=ECI,NCOV19 Recovered RTR,VIR
VNACOV=ECI,NCOV19 Act Cases RTR,VNM
VNCCOV=ECI,NCOV19 Tot Cases RTR,VNM
VNCOVD=ECI,COVID19 Tot Cases WHO,VNM
VNDCOV=ECI,NCOV19 Deaths RTR,VNM
VNNCOV=ECI,NCOV19 New Cases RTR,VNM
VNRCOV=ECI,NCOV19 Recovered RTR,VNM
XKACOV=ECI,NCOV19 Act Cases RTR,   
XKCCOV=ECI,NCOV19 Tot Cases RTR,   
XKCOVD=ECI,COVID19 Tot Cases WHO,   
XKDCOV=ECI,NCOV19 Deaths RTR,   
XKNCOV=ECI,NCOV19 New Cases RTR,   
XKRCOV=ECI,NCOV19 Recovered RTR,   
XWACOV=ECI,NCOV19 Act Cases RTR,WOL
XWCCOV=ECI,NCOV19 Tot Cases RTR,WOL
XWCOVD=ECI,COVID19 Tot Cases WHO,WOL
XWDCOV=ECI,NCOV19 Deaths RTR,WOL
XWNCOV=ECI,NCOV19 New Cases RTR,WOL
XWRCOV=ECI,NCOV19 Recovered RTR,WOL
YEACOV=ECI,NCOV19 Act Cases RTR,YEM
YECCOV=ECI,NCOV19 Tot Cases RTR,YEM
YECOVD=ECI,COVID19 Tot Cases WHO,YEM
YEDCOV=ECI,NCOV19 Deaths RTR,YEM
YENCOV=ECI,NCOV19 New Cases RTR,YEM
YERCOV=ECI,NCOV19 Recovered RTR,YEM
YTACOV=ECI,NCOV19 Act Cases RTR,MYT
YTCCOV=ECI,NCOV19 Tot Cases RTR,MYT
YTCOVD=ECI,COVID19 Tot Cases WHO,MYT
YTDCOV=ECI,NCOV19 Deaths RTR,MYT
YTNCOV=ECI,NCOV19 New Cases RTR,MYT
YTRCOV=ECI,NCOV19 Recovered RTR,MYT
ZAACOV=ECI,NCOV19 Act Cases RTR,ZAF
ZACCOV=ECI,NCOV19 Tot Cases RTR,ZAF
ZACOVD=ECI,COVID19 Tot Cases WHO,ZAF
ZADCOV=ECI,NCOV19 Deaths RTR,ZAF
ZANCOV=ECI,NCOV19 New Cases RTR,ZAF
ZARCOV=ECI,NCOV19 Recovered RTR,ZAF
ZMACOV=ECI,NCOV19 Act Cases RTR,ZMB
ZMCCOV=ECI,NCOV19 Tot Cases RTR,ZMB
ZMCOVD=ECI,COVID19 Tot Cases WHO,ZMB
ZMDCOV=ECI,NCOV19 Deaths RTR,ZMB
ZMNCOV=ECI,NCOV19 New Cases RTR,ZMB
ZMRCOV=ECI,NCOV19 Recovered RTR,ZMB
ZWACOV=ECI,NCOV19 Act Cases RTR,ZWE
ZWCCOV=ECI,NCOV19 Tot Cases RTR,ZWE
ZWCOVD=ECI,COVID19 Tot Cases WHO,ZWE
ZWDCOV=ECI,NCOV19 Deaths RTR,ZWE
ZWNCOV=ECI,NCOV19 New Cases RTR,ZWE
ZWRCOV=ECI,NCOV19 Recovered RTR,ZWE
